id;value
427;Capacité d'encadrement, apte à participer à l'élaboration de solution pour promouvoir la société
428;HAND BALL
429;lecture, chant, dance
430;Foot-ball , basket-ball
431;Natation et lecture
432;Musique, Film, Lecture, Cuisine, Couture, tricot et broderie, Jardin, Voyages. Autre : médaille de travail
433;Voyager, regarder la télé, faire de sports 
434;Atouts : Sérieus, Dynamique, Loyale, grande disponibilité, fortre motivation.
435;football, basket ball, natation, lecture, musique
436;excursion en équipe, esprit d'initiatif et d'organisation, créativité.
437;Jogging, Voley, Lecture
438;Ecrivaine art dramatique, actrice de théâtre radiophonique
439;Formation Sauveteur Secouriste du Travail (SST)
440;Participation à la compétition Mondial CiscoNetriders Afrique Sub-Saharien en 2016 et Continent Africain en 2017
441;Voyage, TV, musique, lecture, sport
442;Activité scoutisme, bénévolat en JOI 2007
443;danse de salon et sportive, Sports, Internet
444;lire, sport et jeux video
445;Foot ball, Natation, Jeux vidéo et jeux de société
446;Titulaire d'un permis de catégorie B,C,D
447;Rugby, 
448;-sports
449;sports, musique, peinture, randonner
450;Lecture, cuisine, sports, ...
451;Amateurs de sport de combat, passionné de l'informatique et des nouvelles technilogies.
452;Lecture, voyage
453;FITNESS
454;Lecture, volley-ball
455;Lecture et Musique
456;internet
457;Chorale, couturière, sportive
458;Football et Rugby
459;PECHE MARCHE 
460;Lecture, Voyage et musique
461;Musique, jeu d'échec, foot ball, lecture et jeux vidéo
462;relation client,multimedia,photographie
463;Arbitre de foot ball - Arts martiaux
464;mada
465;Basket-ball et Volley ball
466;regarder la télévision
467;Mots croisés - Dessin
468;•	Membre  de l’Association des étudiants sur la lutte contre la corruption •	Membre des étudiants TAMPIKRI de l’ESSVA Antsirabe  •	Sport pratiqué : basketball, football
469;regarder la télévision, et recherche au cyber
470;Football, jeux vidéo, athlètisme
471;SPORT - VOYAGE - DOCUMENTAIRE - 
472;Leadership : 	Certificat de compétence spéciale en Gestion budgétaire, résolution de problèmes, relations publique, gestion du temps, formatrice, gestion du projet, planification à court et long terme. -Mission Cote d’Ivoire Centre d’intérêt :	 Massage re
473;- Regarder les films documentaires
474;"LECTURE;football"
475;Foot, Basket, Lecture, Conférence
476;Musique, sport, Voyage.
477;Chanter, regarder la télévision
478;cuisiner . lire. jouer de la guitare. nager
479;loisirs
480;Sport,art, music, ...
481;Association des jeunes agriculteur, Sports, internet
482;Lecture,  Cinéma,  Documentaires
483;lire les livres, chanter, basketball
484;Voyages,Natation,Basketball
485;Bonne connaissance de l’axe Sud (RN7) et l’axe Est (RN2) de madagascar.
486;Lecture, regarder des documents
487;Musique - jeu - sport
488;Foot-ball, Basket-ball
489;tennis, photographie
490;Sport ,Art, Music, Organisation évenementiel.
491;musique,jeux vidéo,sport
492;salarié
493;Football, culturisme, sports extrèmes
494;Volet, nage, course à pied, jeux d'échecs, montage vidéo.
495;Tennis de table, randonné 
496;Ballade, Basket-ball
497;Natation, volley-ball, lecture
498;Regarder les films documentaires, bricolage.
499;Lecture, foot-ball
500;Volleyeur dans l'équipe du COSFA, Tennis, Natation, voyage.
501;lire les livres, chanter, basketball, jeux de société.
502;Lecture, Musique, Voyage
503;musique, sport, documentaire.
504;Foot-ball, chanter
505;Sport : Basket  (MB2ALL),  Boxe (STONE Club), Hand Ball, Foot, natation, athlétisme, volley
506;DESSIN
507;Basketball, groupe de Louange
508;Membre dans une association de jeunes Catholiques à l’EKAR Faravohitra. Danse
509;Permis BCDE
510;Volleyball, Tennis de table, Billard, échec, Musique et voyage
511;Lectute et internet
512;Membre de la Chorale
513;regarder la télévision, chanter, bouquiner
514;jazz music, guitar, natation
515;jouer de la guitare, natation, chanter
516;Compétences: COMMERCIALE  Gestion de portefeuilles client Relation commerciale et vente GESTION DES RESSOURCES HUMAINES Recrutement : recherche de candidatures, sélection des dossiers, entretien Carrière : entretien de gestion, notification, évaluation an
517;COMMERCIALE  Gestion de portefeuilles client Relation commerciale et vente GESTION DES RESSOURCES HUMAINES Recrutement : recherche de candidatures, sélection des dossiers, entretien Carrière : entretien de gestion, notification, évaluation annuelle Concep
518;lire les livres, chanter
519;Internet, voyage, basket ball, natation
520;lire , basket ball, atletisme, membre choral
521;Basket-ball, natation, internet, jeux de stratégie
522;2014: Triteur et responsable de communication du groupe TSI AINA
523;Permis de conduire B, C, D
524;Voyage, TV, musique, lecture, sport, internet
525;Bricolage
526;"connaissance le travaux d'electricité ;plomberie sanitaires,"
527;2013:champion de mada en kick boxing categorie +60kg 
528;Gaming
529;pratiquer du sport comme hand ball
530;Basket, musique, ping pong, piscine
531;sportif, dynamique, initiative
532;Slam, Natation
533;Lecture, musique,documentaires,jeux de societe,basket ball,hand ball
534;Chant - Voyage - Lecture
535;PIANO, rugby
536;lecture et internet, musique, sport
537;Voyages et découvertes
538;disponible de suite,apte à travaillé la nuit
539;musique,voyage, internet , 
540;Billard,voyage,lecture,bénévole
541;télévision,music,film,ballade
542;Membre de Young Men Christian Association (YMCA) Madagascar à Nanisana et de l'association Mpandraharaha Zandriny (MZ) à l'IST-t Ampasampito(Y-IRC)
543;pratiquer du sport comme basket ball. foot ball. dense de salon
544;Formation, Sport, projet
545;karate,choral
546;animatrice airtel
547;chants, lectures
548;infirmiere
549;lecture, basketball, natation, voyage, danse
550;musique, nataion, sport
551;Foot, Basket, lecture, courir 
552;Lecture,karaoke
553;lire le journal, faire du sport
554;GROUPE DE CHORAL FJKM
555;Physique quantique, Littérature, Internet, Lécture, Géopolitique, Histoire, Musique
556;Sport et Lecture
557;plonger sous marine
558;musique, membre choral
559;Natation, Zumba, Basket
560;TRAVAIL
561;Chant,danse, guitare, piscine, basket
562;Shopping, lire, danser, 
563;musique danse lecture
564;Sports : football, Basket. Loisirs : chant, danse, lecture
565;karate,choral, basket ball
566;Football, Basketball, lecture, courir 
567;Judo, billard, natation
568;Lecture, musique, foot ball , basket ball, chorale
569;Football, Natation, Passioner de la mécanique auto
570;Permis A, B, C, D / Musculation / Basket Ball / Natation / Ping-pong / Billard / Moto
571;Basket-ball,Internet, Natation
572;Encadreur Benevolat
573;Suivis l'actualité national et internationals
574;Informatique,sport 
575;Spoprt, Lecture, voyage, technologie, 
576;basket ball, volley ball, foot ball, chanter, lire, jeu de société
577;membre Association YMCA Madagascar, association FANORONA,sport natation, football
578;jeux PC, Music
579;musique, danse, lecture
580;Musique ,sport , Natation
581;Echec , football 
582;voyage, sport, Internet
583;Foot ball Music
584;MUSIC BASKET BALL
585;Foot ball - Music
586;natation,football,membre actif association FANORINA YMCA Madagascar,scoot et artiste
587;faire du sport, 
588;Billard,BasketBall,Voyage,Musique
589;TRAVAILLER POUR POUVOIR SERVIR DIEU
590;Basket,cinéma
