id;value
717;Institut Supérieur en Informatique et en Gestion à Soavimbahoaka
718;FAC Degs Fianarantsoa
719;LPC faravohitra
720;Les Bambin Sages Ambohidroa
721;Imgam fpaec Antananarivo
722;Cabinet Passation Des Marchés Publics – Conseils
723;Institut confucius
724;INSCAE  67ha
725;ISSIG Soavimbahoaka
726;SYGOP
727;IHEC 
728;Lycée privé Nicoletta
729;SOFT FORMATION AND DEVELOPPMENT ( SFD)
730;Ecole supérieure spécalisée du Vakinakaratra
731;Lycée Saint Antoine
732;IPAC
733;ABC Ambohibao
734;ELI Ampasamadinika
735;Centre d'Echanges de Documentation et d'Information inter-Institutionnel
736;CNTEMAD (Télé- enseignement) Ankadifotsy
737;Lycée mixte Antsiranana
738;Institut Supérieur en Sciences de l’Environnement et de Gestion 
739;Fianarantsoa
740;Chambre de Commerce et de l'Industrie
741;RH Consulting
742;Institut Sainte Famille Mahamasina
743;ACEEM Manakambahiny
744;CTF 
745;MELI Antanimena
746;ISFGI Antamponjina 
747;TGF
748;APIMF
749;AJERH
750;Institut de Managment des Arts et Métiers
751;H Formation
752;Univ INFO
753;rossignols
754;Laboratoire IMRA
755;Lycée Privé St Philipe et Jacques
756;Collège St Joseph
757;CPE (Cours des Professionel Experimenté)
758;Lenovo Learning Center (online)
759;ESP BIG
760;ACCEM Ankadivato
761;Lycée ACCEM Ankadivato
762;ETFPS RLG 
763;AFACO
764;Sekolintsika Analamahintsy Cité
765;FJKM Ambohimamory
766;ISPEFMAD
767;Institut de Formation Professionnelle AJEECM 
768;AIR Magagascar
769;Lycée Séraphin
770;IFP Mihary
771;Radama Anjanahary
772;Madajob
773;JADE
774;CEG TANJOMBATO
775;MIRINDRA COLLEGE
776;ISECOM
777;TIC Isoraka
778;Lycée privé Aina Arivelo
779;CFPA Anosibe
780;pigier toulouse
781;CRP Consulting 
782;Esslingen Talatamaty
783;ORANGE SCHOOL
784;LYCEE PRIVEE JADE
785;Sacre Coeur Tuléar Centre
786;IMGAM ANTANANARIVO
787;ucm ambatoroka
788;UPA Manakambahiny
789;Univ Info Ampandrana
790;UAZ ( UNIVERSITE ADVENTISTE ZURCHER)
791;CEG Analamahitsy
792;Lycée Antananarivo
793;IMAGE APPLI
794;Ste Famille Mahamasina
795;région Analamanga
796;TSIRO AINA
797;FORMATION CONTINUE EN ADMINISTRATION BACC+4 FSSP
798;Lycée privée Antanisoa
799;Institut Supérieur Spécialisé en Informatique et en Gestion (ISSIG)
800;Collège Notre dame de lourde
801;UNIVERSITE D'ANTANANARIVO, Faculté des Sciences
802;ST Joseph Ambohidratrimo
803;LIME Madagascar
804;Institut National de Promotion, Formation Ivato Aéroport
805;UNIVERSITE PRIVEE SAMIS-ESIC (SAINT MICHEL)
806;Institut Supérieur de Technologie d'Antananarivo (IST-T)
807;IMGAM IVANDRY- 
808;complexe scolaire safi
809;centre des formations professionnel
810;LDS( later-days saints)
811;MTC ghana
812;eglise de jesus christ des saints des derniers jours
813;YALI
814;FACULTE DES SCIENCES ET ISPM
815;UNIVERSITE D'ANTSIRANANA /ESPA
816;lpa
817;CFAMA
818;Faculté des Sciences de l'Univesrité d'Antananarivo
819;DEGS Antananarivo
820;Faculté FLSH Centre universitaire régionale Antananarivo - Ankatso 
821;Ecole Supérieure Spécalisée du Vakinakaratra (ESSVA)
822;La Grace Antaninadro
823;Microcred Antananarivo
824;Lycée Port Bergé
825;CF-PRO
826;LTI Alarobia
827;Centre Antananarivo
828;ISSIG Soavimbahoakas
829;LMA AMPEFILOHA
830;Formation Professionnelle en Travail Social et Développement à l'Université d'Antananarivo
831;CRA
832;Centre de télé-enseignement de Madagascar (CNTEMAD)
833;St laurent Ambohimanoro
834;ACEEM Ankadivato
835;INPF Ivato
836;Sainte famille Mahamasina
837;Formatiopn au sein de la Banque BOA MADAGASCAR
838;BIT SOLUTION
839;Institut de formation des paramédicaux Les Rossignols
840;Saint Joseph
841;LTI Ampasampito
842;Institut Supérieur de Technologie Regionale Alaotra Mangoro
843;lycée Pole Morondava
844;Réseu plus de Madagascar
845;Collège Saint Michel Ampahibe
846;Antananarivo, candidat libre
847;Lycée privé ACCEM
848;lycée Sileny Paul  
849;lycée privée fitsimbinana 
850;ISSSG EMIR CONSULTING
851;saint Joseph IVATO
852;ESCAME Ambaranjana
853;ANTANANARIVO ANKATSO
854;Institiut Universitaire de Madagascar 
855;FTTPI Ampasampito
856;Lycée ANDRIANARISOA
857;Lycée téchnique Antsiranana
858;INATE Antsirabe
859;CONTTOLINE SA
860;CREATIK
861;Réseau plus de Madagascar
862;Lycée HR Daniel Ankadikely Ilafy
863;Ecole Vinet Ambohimalaza
864;GSM
865;Université antananarivo , Departement Physiques
866;Ins.P.N.Mad
867;Université de Pau et des Pays de l'Adour
868;Lyceee privee la caravelle 
869;UPRIME
870;Cours CPE
871;E.S.I.G.E
872;ENA
873;Faculté de Droit d'Antananarivo
874;Soft Development information
875;CSPI-M
876;LTPGCM Mahamasina
877;Uiversité de Fianarantsoa
878;Beroute Afrique
879;Institut of Management and Technology
880;IED (Innovation Energie Développement)
881;par IED (Innovation Energie Développement)
882;Lycée prive fitarikandro
883;Catolique MANJAKARAY
884;Lycée Française Antananarivo
885;LTP
886;EDM
887;I NSPMAD
888;MRE Antaninandro
889;Top flight Andravoangy Ambony 
890;Le SENEVE Amboditsiry,
891;EESS SCIENCES ANTANANARIVO
892;Lycée privée speed
893;Andrainjato fianarantsoa
894;Lycée Faratsiho
895;Université de Mahajanga
896;ANKATSO - Université d’Antananarivo Madagascar
897;Lycée Technique Ambatondrazaka
898;Lycée privée CPE
899;SFD Antaninandro
900;FJKM Ambatolampy
901;Lycée Diego
902;Pepite d'or Isoraka
903;cerf armi 67 ha
904;University of Technology and Business
905;IMGMA/FSSP
906;Shelton College
907;INSPN Mad
908;Pré Uprim
909;ITC
910;UNIVERSITE D'ANTANANARIVO FACULTE DE MEDECINE
911;Lycée Jean jacques RABEMANANJARA
912;FPAEC Antanimena
913;Lycée philbert Tsiranana
914;RLG Ambatomainty
915;ARCADE Ambohimanarina
916;Lycée Talatamaty
917;Lycée Mahanoro
918; l’Ecole Supérieure Spécialisée du Vakinankaratra (ESSVA), 
919;Lycée  Andohalo
920;MEC INFO 
921;Lyceé de Fianarantsoa
922;ESCGM
923;ISERP Ampefiloha 
924;IEP
925;RASADE ( Réseau des Associations pour l’Appuis au Développement
926;SOCIMEX
927;OTIV 
928;IEFPA ACCEM
929;IMGAM/ FPAEC
930;Cape May Technical
931;Real Disign Vondron’Asa Malagasy
932; Centre de Formation en Langue Chinoise
933;Alliance Française d’Antananarivo
934;FIAM
935;ITAOSY
936;IFELP Antananarivo
937;IFELP ANOSY Antananarivo
938;Ecole Supérieure Polytechnique d 'Antsiranana
939;Lycéé Tsiroanomandidy
940;UNIVERSITE D'ANTANANARIVO, Ankatso
941;Ecole supérieure des Sciences Agronomies
942;CNTEMAD Ankadifotsy  et ESDES Ambatomitsangana
943;Lycée St Joseph Ivato
944;CFPT Carole Behoririka
945;Lycéé privée
946;ACCEEM
947;Collège Saint Michel Amparibe
948;Academie de la réunion
949;CPE (Cours des Professeur Experimenté)
950;Faculté de Medecine Ankatso
951;Ecole Superieur de Developpement Economique et Sociale
