id;diplome;created
431;Licence en Informatique option Analyse programmation;11/04/2017 06:31
432;Master II (en cours) en Droit Privé;11/04/2017 06:38
433;Master I en Droit Privé;11/04/2017 06:39
434;Baccalauréat literaire;11/04/2017 08:39
435;Coaching;11/04/2017 08:39
436;Technique de plaidoyer;11/04/2017 08:39
437;Leadership et management;11/04/2017 08:39
438;Gestion administrative et financiere;11/04/2017 08:39
439;Licence en sciences économiques;11/04/2017 09:53
440;Licence en Gestion et management d'entreprise;12/04/2017 06:24
441;DTS en Informatique de gestion;12/04/2017 06:25
442;Master I (en cours) en BTP;12/04/2017 06:40
443;Licence en BTP parcours Travaux Publics;12/04/2017 06:41
444;Master I en Informatique générale;12/04/2017 06:50
445;Licence professionnelle en Informatique Générale;12/04/2017 06:51
446;Diplôme d'étude supérieur en commerce internationnal  ;12/04/2017 08:45
447;2ème année (en cours) en Sociologie;13/04/2017 09:05
448;"Certificat de fin de formation en ""Coaching""";13/04/2017 09:07
449;Attestation de fin de formation en Leadership et management;13/04/2017 09:08
450;Certificat de fin de formation en Webdesign;13/04/2017 09:09
451;Licence professionnelle en Science de gestion option Finance et Comptabilité;13/04/2017 09:26
452;Licence en sciences économiques option Finance et Comptabilité;13/04/2017 11:42
453;1ère année en gestion et comptabilité;13/04/2017 13:40
454;Niveau Terminale;14/04/2017 13:56
455;Master 2 en MBDS (Mobiquité, Base de Données et intégration de Systèmes);14/04/2017 15:58
456;Licence en Développement d'applications informatiques;14/04/2017 15:58
457;Diplôme de technicien supérieur en gestion;15/04/2017 16:42
458;MASTER I en Commerce international;18/04/2017 09:05
459;Licence es lettre langue étrangère;18/04/2017 13:54
460;D.T.S.S à l’IST-D en Ingénierie des Réseaux Mobiles;19/04/2017 09:06
461;D.T.S mention Bien à l’IST-D en Génie de Télécommunication et de Réseau;19/04/2017 09:06
462;Diplôme de Technicien Supérieur en informatique option Réseau Local d'Entreprise;19/04/2017 09:11
463;Préparation du diplôme d'ingéniorat en Informatique;19/04/2017 09:35
464;Master 1 en Droit Public Interne et International;19/04/2017 10:00
465;4ème année en Histoire Socio-économique;19/04/2017 11:37
466;DUEL en Histoire;19/04/2017 11:39
467;FIN DE FORMATION en GESTION  D ENTREPRISE;19/04/2017 11:55
468;Niveau Terminal série D;19/04/2017 11:57
469;Licence II  en Information et Communication d’entreprise ;19/04/2017 16:25
470;Licence I en Information et Communication d’entreprise ;19/04/2017 16:25
