id;universite;created
409;IFELP ANOSY;13/06/2017 07:54
410;USTHB;14/06/2017 10:43
411;Morondava;14/06/2017 11:44
412;GSI Madagascar;14/06/2017 14:38
413;Barikadimy;14/06/2017 15:08
414;CP FJKM M/ga;14/06/2017 15:35
415;EMIT université de Fianarantsoa;14/06/2017 19:34
416;Université de Majunga;15/06/2017 08:11
417;Paul Minault;16/06/2017 07:56
418;Université d' Antananarivo ;16/06/2017 08:34
419;SFD;16/06/2017 09:58
420;Antsiranana;16/06/2017 15:14
421;Polytechnique d'Antananarivo;17/06/2017 14:42
422;Saint Michel Amparibe;17/06/2017 14:42
423;CNTEMAD Antsirabe;18/06/2017 14:01
424;transcription médical;19/06/2017 08:47
425;Société Salone;19/06/2017 08:47
426;ISTE Fianarantsoa;19/06/2017 10:29
427;ETS St Michel Amparibe;19/06/2017 13:51
428;Mahajanga;19/06/2017 14:56
429;CGM (Centre Germano-Malagasy);19/06/2017 19:23
430;IFT Antananarivo;19/06/2017 19:52
431;Condorcet;20/06/2017 12:27
432;Condocet;20/06/2017 12:27
433;Lycée technique Condorcet;20/06/2017 12:27
434;gestion;21/06/2017 07:15
435;universite toamasina;21/06/2017 07:15
436;Lycée rakotoarisoa Ambositra;21/06/2017 14:01
437;Teknet Group;21/06/2017 14:22
438;Centre germano Malgache Analakely;22/06/2017 08:40
439;Fo Masin' i Jesoa (FMJ);22/06/2017 09:01
440;PROMES/ Programme SESAME;22/06/2017 09:01
441;Blanche Birger de Madagascar (B.B.M);22/06/2017 11:33
442;Institut de Gemmologie d'Antananarivo (I.G.A);22/06/2017 11:33
443;Centre de Formation en Commerce International et Concurrence (C.F.C.I.C);22/06/2017 11:33
444;Jean-Philippe Mas Formation,études et conseil;22/06/2017 11:33
445;IMGAM/FPAEC;22/06/2017 14:24
446;formation online;22/06/2017 14:42
447;C-STAR;23/06/2017 09:38
448;LYCEE D'ENSEIGNEMENT GENERAL;23/06/2017 09:38
449;LYCEE EJEDA;23/06/2017 12:22
450;Lycée le Défi;27/06/2017 10:12
451;Lycée technique professionnel Antsirabe;27/06/2017 11:29
452;LTP Aceem;28/06/2017 06:41
453;BBM (Blanche Birger Madagascar);28/06/2017 07:24
454;Lycée fianarantsoa;28/06/2017 07:38
455;FAC DEGS Ankatso;28/06/2017 10:13
456;Collège Saint Louis III Manakambahiny;28/06/2017 12:01
457;LTP GCM;28/06/2017 14:01
458;CENTMAD;28/06/2017 14:33
459;ASSURANCE NY HAVANA 67 Ha;29/06/2017 06:02
460;LA SOURCE ANJANAMASINA;29/06/2017 11:28
461;Univers Informatique;29/06/2017 13:38
462;ISMATEC Antanimena;29/06/2017 14:10
463;LEG Arivonimamo;29/06/2017 15:14
464;Université d'Antananarivo Faculté D.E.G.S.;29/06/2017 21:04
465;BTS/LTC Ampefiloha;01/07/2017 13:33
466;CNTEMAD Antananarivo;03/07/2017 08:16
467;Université Catholique;03/07/2017 13:46
468;67 ha Antananarivo;03/07/2017 14:40
469;Bit Info Tsiadana;04/07/2017 09:31
470;antanarivo;04/07/2017 13:41
471;IMDFFF;04/07/2017 14:01
472;collège Lasalle Montrèal;04/07/2017 14:16
473;UNIVERISTE ANTANANARIVO;05/07/2017 06:58
474;CNETMAD;05/07/2017 06:58
475;Lycée technique d'Ambatondrazaka;05/07/2017 08:15
476;FPTI Ankadifotsy;05/07/2017 08:15
477;Lycée Farimbona;05/07/2017 10:46
478;Lycée Privé Farimbona;05/07/2017 10:54
479;EMMIR CONSULTING;07/07/2017 08:45
480;IST DIEGO;07/07/2017 12:25
481;ESP BIG Behoririka;08/07/2017 08:15
482;Oracle University;08/07/2017 10:14
483;Centic-Mada;10/07/2017 08:11
484;RENEL RAKOTOBE;10/07/2017 09:32
485;EMIR Consulting ;11/07/2017 08:40
486;I N T H;11/07/2017 08:48
487;Conservatoire National des Arts et Métiers.PARIS;11/07/2017 09:28
488;FPU Fianarantsoa;11/07/2017 14:10
489;INTH;11/07/2017 14:47
490;Lycée Gallieni Andohalo Antananarivo;11/07/2017 15:12
491;LARA ;11/07/2017 15:18
492;CTS MAHAMASINA;13/07/2017 11:18
493;ASFOR;13/07/2017 14:10
494;Orion;13/07/2017 14:42
495;UPRIM MADAGASCAR/ACEEM/CEFOR ;14/07/2017 12:57
496;Wamy, INTH;14/07/2017 13:43
497;AMBOHITSAINA;14/07/2017 14:11
498;Lycée Moramanga;17/07/2017 08:42
499;Imgam fpaec;20/07/2017 11:12
500;ST Jean Bosco;20/07/2017 16:19
501;Autodidacte;21/07/2017 07:24
502;ISIME Behoririka;21/07/2017 13:41
503;ACCEM;24/07/2017 11:14
504;ISGIE;24/07/2017 11:29
505;Centre d'Etude Diplomatique et Stratégique (CEDS);24/07/2017 22:06
506;ANAKEEN;24/07/2017 22:06
507;CARPIGIANI UNIVERSITY;26/07/2017 09:15
508;Lycée Ambohidratrimo;26/07/2017 12:35
509;ISM Advancea;26/07/2017 13:01
510;;27/07/2017 07:55
511;lycée privée LA SOURCE;27/07/2017 08:55
512;Université de EVRY;27/07/2017 11:43
513;Lycée technique professionnel Ampasapito;27/07/2017 20:08
514;College Moderne d'Ankaraobato;27/07/2017 20:08
515;Institut National de Tourisme et d'Hôtellerie;28/07/2017 07:53
516;Université Catholique de Lyon;28/07/2017 09:27
517;Université d’Antananarivo;29/07/2017 14:33
518;Sup’Info Dakar;29/07/2017 14:33
519;ECOLE RAZANAMPARANY ANALAKELY;01/08/2017 12:39
520;ESCA antanimena;02/08/2017 13:40
521;universite DE TOLIARA;03/08/2017 07:06
522;CENTRE DE FORMATION DOUANES ANTANANARIVO;03/08/2017 07:32
523;Privée;03/08/2017 11:29
524;Hay Target / Université privée Americaine;03/08/2017 11:43
525;Univesité de Mahajanga;03/08/2017 21:27
526;Chambre de Commerce de Fianarantsoa;04/08/2017 13:51
527;ankatso et IFT;06/08/2017 14:15
528;st vincent de paul;08/08/2017 07:18
529;Collège Saint Philippe et Jacques;08/08/2017 13:16
530;Lycée Technique Privé La Source;09/08/2017 09:57
531;MADA 7+7;09/08/2017 13:44
532;ESPA Vontovorona;09/08/2017 13:50
533; Lycée Gallieni;09/08/2017 15:03
534;Education nationale de la recherche de la culture et des arts;09/08/2017 15:15
535;stella maris tamatave;10/08/2017 08:50
536;Institute of Management Technology;11/08/2017 12:50
537;Armis;11/08/2017 15:01
538;E.N.I Fianarantsoa;12/08/2017 13:33
539;Toamasina;14/08/2017 12:25
540;Universite de la Reunion;16/08/2017 07:57
541;CFRH Institute;16/08/2017 07:57
542;ISGEI;17/08/2017 11:16
543;UNIVERSITE DE SFAX;17/08/2017 13:51
544;Chevrollier;17/08/2017 14:08
545;ETEC FARAVOHITRA;18/08/2017 08:54
546;Mec-Auto;18/08/2017 14:19
547;Lycée Technique  ;18/08/2017 14:32
548;Lycée Saint Paul Morondava;18/08/2017 14:49
549;CNTEMAD.Droit;19/08/2017 13:13
550;Fiangonana Loterana Malagasy;21/08/2017 12:36
551;en Sciences Economiques;21/08/2017 13:50
552;INCC;21/08/2017 14:03
553;IEFP ACEEM ;21/08/2017 14:57
554;Université ACEEM Manakambahiny;22/08/2017 06:49
555;Univesrité d'Anatananarivo;22/08/2017 07:33
556;Centre des Techniques et Pratiques en Commerce International (CTPCI);22/08/2017 08:18
557;"IHEC ""Sekoly RAZANAMAMPARANY";22/08/2017 13:23
558;Ministère de Commerce et de l'Industrie, La Direction de l'Artisanat et de l'Agence Française de Dévéloppement;22/08/2017 14:05
559;Faculté des lettreS et science humaine ANTANANARIVO ;23/08/2017 12:00
560;GENIESPACE;24/08/2017 11:49
561;Madagascar Entreprise Development;24/08/2017 11:56
562;Ecotec Tamatave;24/08/2017 20:00
563;Saint Antoine;25/08/2017 10:57
564;IHSM Tulear;25/08/2017 13:48
565;NANISANA FED-STABEX;25/08/2017 13:48
